title,article,link,day,month,year
"Understanding what an open China means to the world through ""thinner"" suitcases - People's Daily Online","Understanding what an open China means to the world through ""thinner"" suitcases (Xinhua) 12:07, March 11, 2023BEIJING, March 10 (Xinhua) -- The ongoing ""two sessions"" in Beijing hold great significance not only for China´s own development but also for other nations interested in understanding China´s future growth trajectory and global impact.The ""two sessions"" refer to the annual sessions of China´s National People´s Congress (NPC) and the National Committee of the Chinese People´s Political Consultative Conference (CPPCC), which are the country´s top legislature and national political advisory body, respectively.China´s opening-up policy remains one of the most discussed topics at the political event this year. The government work report submitted Sunday to the national legislature for deliberation demonstrates the steady progress and China´s impressive determination on the policy, saying that ""We remained committed to opening up wider to the world and expanded international economic and trade cooperation to deliver mutually beneficial outcomes.""As an Egyptian living in China for years, I have witnessed the country´s wider opening-up pursuit, and I believe an open China is vital to the struggling global economic recovery.STORIES BEHIND ""THINNER"" SUITCASESI have friends of different nationalities who share the same feeling that our suitcases are ""thinner"" these days when returning to China from holidays. Over a decade ago, my family would always stuff my suitcase with cheese, dates, spices and other local specialties before I returned to China.Now, however, more global products are entering the Chinese market through platforms such as the China International Import Expo (CIIE). With Arab specialties including Egyptian oranges, dates from the United Arab Emirates and essential oils from Syria easily available in Chinese supermarkets, I no longer need to carry these things all the way to China.According to the government work report, China developed new forms of foreign trade over the past five years and built 152 new integrated pilot zones for cross-border e-commerce. Major trade events such as CIIE, the China Import and Export Fair, the China International Fair for Trade in Services, and the China International Consumer Products Expo have delivered positive results.Furthermore, China simplified customs clearance procedures and reduced the clearance time for imports and exports by 67 percent and 92 percent, respectively, bringing about a significant reduction in related compliance costs, the work report added.Amidst the growing trend of trade protectionism and the so-called ""decoupling and severing industrial and supply chains"" by some developed countries, China´s efforts toward trade liberalization and facilitation have become increasingly crucial.With an enormous market of more than 1.4 billion people, China is the world´s largest goods trader, a major trading partner of over 140 countries and regions, and has the world´s second-largest consumer market and import market. There is no doubt that China is a key hub of the global economic cycle, benefiting the entire world with the dividends of its super-sized market.STRONG MAGNET FOR FOREIGN INVESTMENT""Intensifying efforts to attract and utilize foreign investment,"" as stated in the government work report, is one of the key priorities of the Chinese government´s economic work in 2023.During my over a decade-long experience of living in China, I have seen an increasing number of international companies investing in the country. When enterprises first entered China, most of them just regarded it as the ""factory of the world."" But later many of these companies set up research and development centers here to continuously increase the added value of their industrial chains.In 2022, foreign direct investment in the Chinese mainland, in actual use, expanded 8 percent year on year to 189.13 billion U.S. dollars, reinforcing its status as a magnet for foreign investors.Among Arab countries, Gulf countries' investment in China is particularly eye-catching. Saudi Aramco, Abu Dhabi National Oil Company, Kuwait National Petroleum Company and other energy giants have carried out in-depth investment cooperation with many Chinese provinces and enterprises.China and Arab countries have adhered to pursuing mutual benefits, promoted trade and investment facilitation, and multiplied the growth of mutual investment and economic and trade cooperation, according to the Saudi Arabian newspaper Alriyadh.The sovereign wealth funds of Gulf states have long been mainly invested in developed markets in Europe and the United States. In recent years, as China-Arab relations have continued to improve and their economic ties deepened, China´s market and assets are gradually favored by sovereign wealth funds in the Middle East.In 2018, Abu Dhabi Global Market, an international financial center in Abu Dhabi, opened its first overseas representative office in Beijing.Ajlan &Bros Holding Group, a leading investment holding company in the Middle East and one of the largest private enterprises of Saudi Arabia in China, has been doing business in China for more than 20 years. With the increasingly close economic and trade exchanges between China and Saudi Arabia, the company has set up four investment offices in Beijing, Shanghai, Shenzhen and Hong Kong since 2017.Saudi Basic Industries Corporation (SABIC) has jumped onto the bandwagon of China´s green development. The company announced a carbon-neutral strategy and plans to actively expand investment cooperation in China.""We need to 'join hands' with each other instead of 'letting go' of each other´s hands. We need to 'tear down walls,' not 'erect walls.'"" I was deeply impressed by these inspiring words by Chinese President Xi Jinping, and I believe China walks its talk.A sentence in the government work report fully expresses China´s confidence in attracting more foreign investment, saying that with a vast and open market, China is sure to provide even greater business opportunities for foreign companies in China.MORE FRIENDS, MORE CHANCESThis year marks the 10th anniversary of the Belt and Road Initiative (BRI), which has attracted more than three-quarters of the world´s countries and 32 international organizations.Over the past decade, Chinese companies have invested 397.9 billion yuan (about 57 billion U.S. dollars) in cooperation zones built in countries along the Belt and Road, creating 421,000 local jobs.The BRI has made significant contributions to Egypt´s modernization process and a notable example is the country´s new administrative capital.A modern city is taking shape in the desert east of Cairo, the capital of Egypt. Constructed by a Chinese company, the Central Business District (CBD) in Egypt´s new administrative capital boasts the tallest building in Africa, standing at 385.8 meters.This achievement is a testament to the growing friendship between Egypt and China. The project is nearing completion within just over four years. According to Egypt´s Al-Ahram newspaper, ""China speed"" makes Egypt´s dream come true.From material selection to the application of technologies, the project embodies the concept of green development and can help Cairo effectively deal with air pollution and other ""big city diseases.""The CBD in Egypt´s new administrative capital has become a popular spot, bustling with visitors. I would go there every time I go back to Egypt.The outcomes of high-quality BRI development are spread across Africa. I have experienced the Chinese-built Mombasa-Nairobi Standard Gauge Railway. From the station to the trains, I was struck by the modern scene around me. Passengers were enjoying the convenience and efficiency of the self-service ticket vending machines, while the crew provided excellent services.China´s high-level opening-up has been a continuous success, and the BRI has become an international public good and a platform for international cooperation, Karim Adel, head of the Cairo-based Al Adl Center for Economic and Strategic Studies, told Xinhua.China´s other initiatives, especially the Global Development Initiative and the Global Security Initiative, have also won the support of many countries, Adel added.Last year, I had the privilege of participating in the translation and review work of the Arabic version of the fourth volume of ""Xi Jinping: The Governance of China."" With every word I read, I gained a deeper appreciation for the thoughts of the Chinese leader.In 2021, Xi said that on the road to the well-being of all humankind, no country or nation should be left behind. All countries and nations are equally entitled to development opportunities and rights to development, Xi said at the Communist Party of China and World Political Parties Summit. His words deeply touched me.There is an Arabic proverb that goes, ""If you want to walk fast, walk alone. But if you want to walk far, walk together,"" just like how in China people often say ""more friends, more chances.""China is a country committed to high-level opening-up and I firmly believe that its efforts will bring more concrete opportunities to the world. ",http://english.people.com.cn/n3/2023/0311/c90000-10220517.html,11,3,2023
Explainer: What Chinese modernization would mean for the world? - People's Daily Online,"Explainer: What Chinese modernization would mean for the world? (Xinhua) 11:01, March 11, 2023-- ""China´s path to modernization reflects Chinese wisdom, Chinese civilization and history,"" said Keith Bennett, a long-term China specialist and vice chair of Britain´s 48 Group Club.-- China always keeps the world´s development and peace in mind in its modernization process. That is because Beijing fully understands that it will do well only if the world does well, and vice versa.-- The Chinese path to modernization serves as an ""example"" for developing countries, especially African countries, when they have been confronted with multiple crises that hinder their development in recent years, General Secretary of the Congolese Labor Party Pierre Moussa has said.BEIJING, March 10 (Xinhua) -- For a long time in history, the world was shrouded in the myth that modernization equals Westernization. The emergence of Chinese modernization dispels it, making modernization no longer a single-choice question, but a multiple-choice one.For the world, China´s task to modernize a country of 1.4 billion people, or nearly one-fifth of the global population, is unprecedented. The Herculean pursuit not only captures global attention, but also has global ramifications.Among a series of concepts and initiatives that China promotes in both state governance and global interactions, the Chinese path to modernization is the most popular keyword that people would like to know more about, according to an overseas survey conducted by Xinhua News Agency recently.WHAT ARE DIFFERENCES BETWEEN CHINESE AND WESTERN MODERNIZATION?China´s path to modernization is one of peace and development, win-win cooperation, and harmony between humanity and nature, rather than external expansion and plundering.""China´s path to modernization reflects Chinese wisdom, Chinese civilization and history,"" said Keith Bennett, a long-term China specialist and vice chair of Britain´s 48 Group Club.""The modernization of a small number of Western countries was based on the exploitation, oppression and colonization of almost the entire world. China is not developing by exploiting any other country; China is developing itself and modernizing itself, and at the same time helping other countries to develop and modernize,"" he said.China does not seek to exploit or control other nations, and it plays no role in inciting conflicts, said Mokhtar Gobashy, deputy chairman of the Cairo-based Arab Center for Political and Strategic Studies, adding that´s why China has gained respect and popularity in the Arab world.Meanwhile, Chinese modernization emphasizes both material and cultural-ethical advancement, which distinguishes it from Western modernization, said Chen Gang, assistant director of the East Asian Institute of the National University of Singapore.The coordination of material and cultural-ethical advancement leads the way to realize all-around material abundance as well as people´s well-rounded development, Chen said.WHAT CHINESE MODERNIZATION CAN OFFER FOR THE WORLD?China stands in the world as the second-largest economy and a responsible major country. It always keeps the world´s development and peace in mind in its modernization process. That is because Beijing fully understands that it will do well only if the world does well, and vice versa.Firstly, China is committed to making the world less poor and more equitable.By the end of 2020, China had lifted out of poverty all rural residents living below the current poverty line and met the poverty eradication target set out in the 2030 Agenda for Sustainable Development 10 years ahead of schedule.Commenting on China´s poverty reduction drive, UN Secretary-General Antonio Guterres said those achievements are ""the biggest contribution for dramatical reduction of poverty.""More than eradicating absolute poverty, Chinese modernization promotes common prosperity, thereby shrinking the enormous wealth gap and inequality that have risen in tandem with Western modernization.British scholar and political commentator Martin Jacques highlighted China´s pursuit of common prosperity, lamenting how Western countries have never taken it seriously.""For China to embrace common prosperity, to establish a society of greater fairness, greater equity, that is a very important message not only to China, Chinese people but to the world as well,"" he said.China, on its way toward modernization, has also been sharing its development dividends with the rest of the world.Take the Belt and Road Initiative (BRI). According to a World Bank forecast, if all Belt and Road transport infrastructure projects are carried out, the initiative would generate 1.6 trillion U.S. dollars of global revenues annually to 2030. Up to 90 percent of the revenues would go to partner countries.""The most important thing about the BRI is that developing nations could benefit from the great experience in the development of China. BRI gives them the opportunity to create an industrial society and join the modern age. This is something that in the long run would bode well for the future of humanity,"" said Khairy Tourk, professor of economics with the Stuart School of Business at the Illinois Institute of Technology in Chicago.Secondly, China is committed to making the world greener and more biodiverse.China ranks first globally in the area of planted forests and forest coverage growth, contributing a quarter of the world´s new forest area in the past decade.From 2012 to 2021, China´s carbon dioxide emissions per unit of GDP declined by 34.4 percent, and energy consumption per unit of GDP decreased by 26.4 percent, equivalent to saving of 1.4 billion tons of standard coal.So far, China has also emerged as a major proponent of renewable energy, and it is working hard to capitalize on the potential of a green BRI.UNFCCC (the United Nations Framework Convention on Climate Change) Executive Secretary Simon Stiell spoke highly of China´s firm and consistent stance on actively addressing climate change, as well as its efforts to translate climate commitments into concrete actions.At a time when the world is facing an energy crisis, China continues to make solid progress in dealing with climate change and plays an important role in advancing the global response to climate change, Stiell said.Meanwhile, under China´s presidency, the 15th meeting of the Conference of the Parties (COP15) to the UN Convention on Biological Diversity has adopted the global biodiversity framework ahead of schedule. China has shown leadership in global biodiversity protection, Inger Andersen, executive director of the United Nations Environment Programme, has said.Thirdly, China is committed to making the world more peaceful.For more than 70 years, China has never started a war, never occupied a single square mile of foreign territory, never engaged in proxy wars, and never been a member of or organized any military bloc.It is the only country that has incorporated peaceful development in its Constitution, and the only country among the five nuclear-weapon states to pledge no first use of nuclear weapons. China´s track record on peace can stand the scrutiny of history, and its peaceful rise is an unprecedented miracle in human history.Since China´s restoration of its lawful seat at the United Nations in 1971, China has actively participated in the political settlement of major regional hot issues, including the Korean Peninsula nuclear issue, the Iran nuclear issue, Afghanistan, Myanmar, and the Palestine-Israel issue.In response to mounting conflicts and security challenges in today´s world, Chinese President Xi Jinping proposed the Global Security Initiative (GSI) at the opening ceremony of the Boao Forum for Asia Annual Conference 2022.And in the GSI Concept Paper released last month, China further expounded the core ideas and principles of the initiative, identified the priorities, platforms and mechanisms of cooperation and demonstrated China´s sense of responsibility for safeguarding world peace and firm resolve to defend global security.""China´s idea of being a builder of world peace, contributor to global development, defender of the international order and provider of public goods are consistent with the ideals of the UN Charter,"" former UN Secretary-General Ban Ki-moon has said.People visit Jianchang ancient city during the Spring Festival holiday in Xichang, southwest China´s Sichuan Province, on Jan. 27, 2023. (Photo by Li Jieyi/Xinhua)AN ALTERNATIVE APPROACH?Chinese modernization is a new model for human advancement, and it dispels the myth that ""modernization is equal to Westernization,"" presents another picture of modernization, expands the channels for developing countries to achieve modernization, and provides a Chinese solution to aid the exploration of a better social system for humanity, Xi once said.China´s rise as a global economic power shattered the long-held notion that modernization means Westernization, said David Monyae, director of the Center for Africa-China Studies at the University of Johannesburg.The Chinese path to modernization serves as an ""example"" for developing countries, especially African countries, when they have been confronted with multiple crises that hinder their development in recent years, General Secretary of the Congolese Labor Party Pierre Moussa has said.""They could find in this model elements for the construction of a development path that can enable them to handle present and future challenges,"" he said.""Modernization has never been simply Westernization,"" Chen said, adding that ""Chinese modernization is a new development model, which can be used as a reference for other countries with similar national conditions or at a similar stage of development."" ",http://english.people.com.cn/n3/2023/0311/c90000-10220417.html,11,3,2023
UN urged to intervene over destruction of U.S. abortion rights: The Guardian - People's Daily Online,"UN urged to intervene over destruction of U.S. abortion rights: The Guardian (Xinhua) 13:40, March 04, 2023LONDON, March 3 (Xinhua) -- Top human rights organizations are calling on the United Nations to intervene over the destruction of abortion rights in the United States, The Guardian reported on Thursday.In a letter shared in advance with The Guardian and sent on Thursday by nearly 200 organizations and experts, the authors detail how, since the overturning of the federal constitutional right to abortion in June 2022, some 22 million women and girls of reproductive age live in states where abortion access is now either banned or inaccessible.Abortion restrictions, the signatories write, deny ""women´s decisional and bodily autonomy in a way that rejects the agency, dignity and equality of people who can become pregnant.""The groups in the letter claim that overturning the constitutional right to abortion contravenes the U.S.´s international obligations as a UN member organization, according to The Guardian.""The U.S. must be castigated on the world stage for its treatment of women, girls and others who can become pregnant -- the scale and intensity of human rights violations that the U.S. is inflicting on its population are near unfathomable at this point,"" said Christine Ryan, legal director of the Global Justice Center, one of the signatories in a phone interview with The Guardian.The authors say the curtailment of abortion rights in the United States is of a piece with the country´s history of devaluing the lives of Black women, who are hit worst by abortion restrictions, it said.",http://english.people.com.cn/n3/2023/0304/c90000-10216056.html,04,3,2023
Surging student loan debt widening U.S. racial wealth gap: report - People's Daily Online,"Surging student loan debt widening U.S. racial wealth gap: report (Xinhua) 13:33, March 04, 2023WASHINGTON, March 3 (Xinhua) -- Skyrocketing student debt is crushing the American Dream and driving the racial wealth gap in the United States, a U.S. civil rights organization reported Thursday.Homeownership is the primary driver of household wealth in the United States and a key component of the American Dream, but the growing student loan debt is widening racial wealth gap and will in turn stall economic growth, said National Urban League in a report on its website.Graduates in debt often settle for lower-paying, lower-skill jobs to start paying their loans right away, and this is even truer for borrowers of color, said the report.Students of color are less likely to have wealth to finance either an education or a home purchase, leading to higher rates of loan debt, disproportionately limiting their homeownership possibilities, it added.",http://english.people.com.cn/n3/2023/0304/c90000-10216039.html,04,3,2023
Omicron subvariant XBB.1.5 accounts for nearly 90 pct new COVID-19 cases in U.S. - People's Daily Online,"Omicron subvariant XBB.1.5 accounts for nearly 90 pct new COVID-19 cases in U.S. (Xinhua) 13:38, March 04, 2023LOS ANGELES, March 3 (Xinhua) -- The highly transmissible Omicron subvariant XBB.1.5 now accounts for nearly 90 percent of all COVID-19 cases reported in the United States, according to the latest estimates released Friday by the U.S. Centers for Disease Control and Prevention (CDC).The prevalence of XBB.1.5 has kept increasing since late last year, and it is estimated to account for 89.2 percent of new COVID-19 cases in the country this week, up from 85.4 percent last week and 79.7 percent two weeks prior.The second most prevalent strain BQ.1.1 accounts for 6.7 percent.The CDC first started tracking XBB.1.5 in November last year, when it accounted for less than 1 percent of cases nationwide. Since then, the strain is spreading quickly in the United States.Early study suggests XBB.1.5 has a couple of concerning mutations that suggest it is even more contagious than other strains, possibly the most transmissible one so far.While XBB.1.5 is spreading easier, scientists said it does not seem to cause more severe disease.",http://english.people.com.cn/n3/2023/0304/c90000-10216052.html,04,3,2023
Commentary: Competition should not be the leitmotif of China-U.S. ties - People's Daily Online,"Commentary: Competition should not be the leitmotif of China-U.S. tiesBy Xinhua writer Guo Yage (Xinhua) 13:48, February 18, 2023BEIJING, Feb. 17 (Xinhua) -- Five times did U.S. President Joe Biden name ""China"" in his second State of the Union address on Tuesday night, more than any other countries or regions beyond the United States.That has indeed shed some light on how much weight Washington gives to its relationship with Beijing. Yet the way the U.S. leader tried to define U.S.-China ties, coupled with the U.S. administration´s recent melodramatic handling of the Chinese weather balloon incident, has added to the world´s worries about a much troubled bilateral relationship that bears heavily not only on both countries but the larger world as well.""We seek competition,"" ""to compete with China,"" ""winning the competition"" -- in such a pugnacious narrative, China seems to be put into a zero-sum game where the United States must and will come out as the only victor.In recent years, the anxieties over an ever-stronger China in Washington are mounting -- in their eyes, a steadily growing China increasingly intolerable, and its global supremacy threatened.Despite that the current U.S. administration has repeatedly pledged that the United States respects China´s system, does not seek a new Cold War, does not seek to revitalize alliances against China, and that it has no intention to have a conflict with China or to contain China, what it has done is pointing the opposite way.To contain China, Washington has exerted almost each and every element of its toolbox, be it smearing campaigns, sanctions or bloc politics. It peddled lies about China´s human rights records, anti-pandemic fight and rightful development, and defamed its domestic and foreign policies, to fan the flames of hostility towards Beijing; it imposed unjustified bans on Chinese tech firms and individuals, to maintain cyber and economic hegemony; it is trying to tie other countries to its China-bashing chariot, and building up the so-called Indo-Pacific encirclement around China.Guided by its own version of ""America First"" doctrine, the Biden administration signed into law the CHIPS and Science Act in last August.The act is designed to ""lower costs, create jobs, strengthen supply chains, and counter China,"" according to a fact sheet on the official website of the White House. Almost six months later, the administration moved further to halt U.S. exports to Chinese tech giant Huawei, ignoring the hazards the decision will inflict on global industrial and supply chains.In an attempt to pressure Africa to counter so-called ""China´s influence,"" top U.S. officials peddled the ""debt trap"" conspiracy again during their Africa tour, giving no concern for the welfare of the continent.In 1972, China and the United States issued the Shanghai Communique, acknowledging a key consensual willingness for the two sides to seek common ground while shelving their differences, and laying a political foundation for the development of bilateral ties. Over the years, big names from both sides have reiterated their calls for more and better bilateral cooperation.Over the decades, cooperation in various sectors has generated great benefits for both the Chinese and American people. And despite bilateral tensions and decoupling rhetoric, goods trade between the two countries hit a record 690.6 billion U.S. dollars in 2022, according to newly released U.S. official data.Unfortunately, Washington is drifting away from the broadly acknowledged consensus on cooperation. The sweetness of healthy competition has soured, and the word ""competition"" has become a synonym for confrontation.As former U.S. trade official William Reinsch was quoted as saying by The Economist in its opinion published in mid-January, Washington has moved from a ""run faster"" to a ""run faster and trip the other guy"" policy, nothing of the sort a responsible major country would ever do.China and the United States stand to gain from cooperation and lose from confrontation. Their respective success constitutes opportunities rather than challenges to each other, and the world is big enough for the two countries to develop themselves and prosper together.For the benefit of all, Washington needs to acknowledge this truth about arguably the world´s most important bilateral ties, dump the logic of a zero-sum game, and ditch its hostile China policy, be it on the pretext of ""competition"" or else.It takes political wisdom and good judgment to see the bigger picture of China-U.S. relations, in which cooperation stands as the leitmotif.",http://english.people.com.cn/n3/2023/0218/c90000-10209584.html,18,2,2023
To ensure that the global economy grows on right track - People's Daily Online,"To ensure that the global economy grows on right trackBy Huan Yuping (People´s Daily) 13:58, February 18, 2023Recent reports issued by the United Nations (UN), the International Monetary Fund (IMF) and other organizations pointed out that the world economy will face greater downward pressure and increasing risks of recession because of the tightened monetary policies adopted by major economies such as the United States and Europe, geopolitical intentions, and continuous food and energy crises.Faced with challenges, the international society is in urgent need to improve the effectiveness of global economic governance. In particular, major economies should enhance macroeconomic policy coordination, jointly contribute to safeguarding an open world economy and make concerted efforts to maintain long-term and stable economic development in the post-pandemic era.To balance inflation control and stabilizing growth is a prominent challenge facing the world economy this year.Some reports believe that high inflation, which has bothered developed economies, is not likely to be completely coming down this year, so these economies' will keep tightening their monetary policies, which increases the risk of economic recession.The IMF attributed the possible slowing growth this year to advanced economies, whose growth is projected to decline from 2.7 percent in 2022 to 1.2 percent in 2023.Advanced economies' maintaining deflation would create negative spillover effects, which might bring higher debt and financial risks to emerging markets and developing countries.Growing trend of unilateralism and protectionist policies adopted by a few countries remain another major challenge facing the world economy.For political purposes, a few major countries that are of huge influence over the world economy, have long followed irresponsible policies and measures that are against the market law and hinder cooperation and development. It triggered concerns from the international community that the world economy, which is in sluggish recovery, may face higher risks if such practice continues.A severe fragmentation of the global economy after decades of increasing economic integration could reduce global economic output by up to 7 percent, but the losses could reach 8-12 percent in some countries, if technology is also decoupled, the International Monetary Fund said in a new staff report.IMF Managing Director Kristalina Georgieva noted that economic integration has helped billions of people become wealthier, healthier, and better educated. ""This peace and cooperation dividend should not be squandered"".Modern history reminds the world that major countries should practically take their responsibilities and enhance mutual coordination, which is of vital importance for the world economy to maintain stable progress amidst raging torrents.At present, it is widely expected around the world that a few major countries should reclaim their sense of responsibility and play a constructive role in promoting the strong, sustainable, balanced and inclusive growth of the world economy.The world economy has come to a crossroads. Only through enhanced coordination and cooperation can its anti-risk capability be raised.It´s important to see that this round of inflation has multiple reasons. Apart from the supply-side factors, the world needs to enhance international cooperation, address both the supply and demand sides, fix industrial and supply chains and pay close attention to energy and food security.While controlling inflation, advanced economies should work to reduce the negative spillover effects caused by their adjustment in monetary policies and practically safeguard the stability of the international financial system.Building an open world economy serves the common interests of the international society. All parties should build consensus and make joint efforts. Major countries, in particular, should maintain the stability of the global economic system, rules and foundation with concrete actions, rather than taking the lead to hinder international economic cooperation or divide global economy.Crises and opportunities always emerged simultaneously in the history of world economy.While effectively coping with risks, countries should take active and appropriate management measures to release more benefits of economic globalization and to rebalance the process of economic globalization.They should focus more on development issues, jointly work to make global development more inclusive, beneficial to all and resilient, and accelerate the implementation of UN 2030 Agenda for Sustainable Development.They should also strengthen international cooperation on tackling climate change and push for a comprehensive green transition in economic and social development.As the world´s largest economy, China is picking up speed in its own economic recovery and committed to improving global economic governance. The country will keep injecting confidence and positive energy into global economic development.The historical trend of openness and development will not reverse course, and the world´s shared desire to meet challenges together through cooperation will remain as strong as ever.All parties should join hands with each other and proceed with confidence, so as to ensure that the global economy grows on the right track.",http://english.people.com.cn/n3/2023/0218/c90000-10209587.html,18,2,2023
Lack of diversity in State Department bad for U.S. diplomacy: Foreign Policy - People's Daily Online,"Lack of diversity in State Department bad for U.S. diplomacy: Foreign Policy (Xinhua) 13:44, March 04, 2023NEW YORK, March 3 (Xinhua) -- U.S. African American diplomats are still subject to harsh treatment from their own colleagues, some of whom use tools of coercion, manipulation, gaslighting and enduring systems to keep the ""pale, male, and Yale"" culture alive, said a report published by Foreign Policy earlier this week.""U.S. State Department officials since (Joe) Biden took office have often said that 'diversity and inclusion makes us stronger, smarter, more creative and more innovative.' And while that talking point was music to the ears of many U.S. government employees of color, a stark reality proves otherwise,"" the report noted.U.S. Secretary of State Antony Blinken was quoted in a Wall Street Journal article that highlighted widespread discrimination and harassment as revealed by an internal State Department survey, saying, ""I've been clear that fully addressing the Department´s shortcomings when it comes to diversity, equity, inclusion, and accessibility isn't something we'd be able to achieve overnight,"" according to the report.Fritz Berggren, a white foreign service officer whose personal blog is filled with antisemitic and anti-Black content, is still employed at the State Department. U.S. taxpayer dollars should not be used to retain ""unrepentant employees who publish racist rants and do not represent American values,"" it said.If the United States aspires to lead by the power of example on the global stage, then a drastic effort to promote inclusion is the only viable path forward, it added.",http://english.people.com.cn/n3/2023/0304/c90000-10216066.html,04,3,2023
Racism in U.S. takes toll on brain: research - People's Daily Online,"Racism in U.S. takes toll on brain: research (Xinhua) 11:09, February 18, 2023NEW YORK, Feb. 17 (Xinhua) -- Racism in the United States has negatively impacted generations of people, leading to discrimination, lost economic opportunities, racist policing and incarceration, and in many cases, death, reported The Washington Post on Thursday.""Even when the impact of racism is not so apparent or in the headlines, the pernicious effects of racial discrimination and structural racism take a toll on the brain and mental health,"" the report said, citing emerging research.Experiences of racial discrimination are consistently linked with mental health issues such as depression, anxiety, substance use and PTSD, as well as physical ailments such as diabetes, hypertension and obesity, it noted.""Black Americans, for instance, are about twice as likely as White Americans to develop dementia,"" the report said. ""Racism is its own stressor and one that cannot be easily avoided.""Black people and other racial minorities -- and their brains -- can learn to adapt, but it comes at a cost. Over the long term, racism accelerates aging and degrades key brain circuits involved in regulating emotion and cognition, it added.",http://english.people.com.cn/n3/2023/0218/c90000-10209546.html,18,2,2023
China-U.S. relations should not be led astray by a wandering balloon: Chinese envoy - People's Daily Online,"China-U.S. relations should not be led astray by a wandering balloon: Chinese envoy (Xinhua) 16:21, February 18, 2023WASHINGTON, Feb. 17 (Xinhua) -- A Chinese envoy said Friday that Washington´s response to a Chinese unmanned civilian airship unexpectedly entering U.S. airspace was an overreaction, urging the U.S. side not to let bilateral relations go astray as a result of this isolated incident.Xu Xueyuan, charge d'affaires at the Chinese Embassy in Washington, said in an opinion essay published in The Washington Post that China has informed the United States of the nature of the incident -- that the airship was used for meteorological research and unintentionally entered U.S. airspace, and that it had limited self-steering capability -- ""after earnest verification and in the shortest possible time. We have asked that the situation be handled in a calm, professional and quiet manner.""The overreaction by America to shoot down the airship despite the fact that it posed no real security threat -- and its moves to heighten the issue, including alleging that China has a high-altitude surveillance balloon program targeting the world and illegally imposing sanctions on six Chinese companies and institutions -- have exacerbated the situation, Xu said. ""This isolated incident has caused new wounds in China-U.S. relations.""""The bilateral relationship is the world´s most important and complex. Relations between the two nations have never been smooth sailing but have included a process of overcoming problems whenever they occur. Many of the issues between the two countries originate from strategic misperception and misjudgment. The difficulty caused by the airship´s accidental entrance in U.S. airspace is yet another example,"" she said.""But problems are not to be feared,"" Xu said. ""What matters is good faith and the ability to resolve them.""""This bilateral relationship requires a 'whole-process' approach and attention to the bigger picture. What, then, is that bigger picture? It is the fact that the two countries have many more common interests than differences; it is the common understanding that a sound and stable China-U.S. relationship is fundamentally good for the two countries and people worldwide,"" she said.""When the China-U.S. relationship enters a difficult patch, we must show the courage and wisdom to respect facts and return to reason. Sensational and politically driven moves harm everyone. By handling this balloon incident properly, China and the U.S. would prove to their people, and the world, that they can respect each other and act responsibly to manage differences and avoid confrontation,"" Xu said.""China stands for more dialogue between the two countries at all levels. This has been an important understanding reached between President Xi Jinping and President Biden at their Bali meeting three months ago ... China and the United States both gain from cooperation and lose from confrontation,"" she said.""We sincerely hope that the United States will work with China and not allow a wandering balloon to lead the bilateral relationship astray. We look forward to concrete steps to prevent the situation from going further down the wrong path, so that the China-U.S. relationship can return to a track of sound and stable development,"" Xu said.",http://english.people.com.cn/n3/2023/0218/c90000-10209604.html,18,2,2023
