title,article,link,year,month,day
Pyongyang fires missile ahead of US-South Korea military drills — RT World News,"        Pyongyang fires missile ahead of US-South Korea military drills                        North Korea had warned of an ‘unprecedented’ response to allied exercises            North Korea's leader Kim Jong Un. ©                SAUL LOEB  AFPNorth Korea has fired a long-range ballistic missile from its east coast into the sea according to the South Korean military, a day after warning Washington and Seoul that it would issue a “strong” response to upcoming military exercises between the two allied nations.Seoul didn’t immediately report where the missile landed, but Japan’s vice minister for defense, Toshiro Ino, said it was estimated to have splashed down in waters around 125 miles to the west of Oshimo Island off the coast of Hokkaido, inside Japan’s exclusive economic zone.According to Japan’s Prime Minister Fumio Kishida, Tokyo is maintaining close dialogue with Seoul and Washington following the incident, which he described as “an act of violence that escalates provocation towards the international order.”Read moreNorth Korea warns of ‘unprecedented’ actionFigures from within the South Korean military said the long-range weapon was fired from an area in Sunan, where Pyongyang International Airport is located, at around 5.22pm local time on Saturday.The launch, which was North Korea’s first since January 1, comes a day after Pyongyang issued a stern rebuke to the announcement of upcoming military drills involving South Korea and the United States.The DPRK vowed an “unprecedentedly persistent, strong” response to the collaborative drills planned for the coming weeks. Pyongyang has previously referred to such exercises as a “dress-rehearsal” for a full-scale invasion.The military drills, which are due to take place over the coming weeks, will feature computer-simulated responses to North Korean nuclear threats, as well as live-fire training and expanded field exercises.Pyongyang’s ballistic missile and nuclear programmes are outlawed under resolutions of the United Nations Security Council, but the North Korean leadership has maintained that weapons development is a necessary deterrent to oppose Washington’s “hostile policies”.The North Korean military tested a record number of intercontinental ballistic missiles (ICBMs) last year, which it claims are capable of striking anywhere within the United States. The country also passed a law last year which authorizes the launch of pre-emptive nuclear strikes under certain conditions.                    ",https://www.rt.com/news/571701-north-korea-missile-february/,2023,Feb,18
Horror train crash kills dozens — RT World News,"        Horror train crash kills dozens                        The collision between freight and passenger trains in Greece caused a blaze with people trapped inside overturned cars            Smoke rises from trains as firefighters and rescuers operate after a collision near Larissa city, Greece, March 1, 2023 ©                AP  Vaggelis KousiorasAt least 36 people have been killed and dozens injured following a head-on collision between two trains in northeastern Greece. Some 350 passengers were on board one of the trains at the time of the crash. Rescuers on site have pulled many survivors from the wreckage.The incident took place shortly after midnight on Wednesday near the town of Tempe, close to Greece’s eastern coast and some 233km (144 miles) north of Athens.According to the latest figures from the Greek Fire Department, the death toll now stands at 36, with 66 hospitalized, six of whom are said to be in intensive care units.Earlier, state-run broadcaster ERT News said that at least 25 of those injured are in “serious condition,” noting that several train cars derailed in the collision.Greek officials say that firefighters are now focused on the first three carriages of the train.“It was a very powerful collision. This is a terrible night… It’s hard to describe the scene,” Costas Agorastos, the regional governor of Greece’s Thessaly region, told state media, adding that around 250survivors had been evacuated to Thessaloniki on buses.Passengers reached by local media described the moment of the crash, saying they felt a “strong jolt” before the train lost power, forcing panicked travelers to smash windows in order to flee overturned railcars.📹 | Passenger train with around 400 passengers collides with cargo train in #Greece's Larissa.pic.twitter.comIGXDhnpsZT— EHA News (@eha_news) March 1, 2023Thirty ambulances reportedly rushed to the scene to treat the victims, with multiple hospitals in nearby Larissa now operating on an “emergency basis,” local reports added. Fire crewsbattleda blaze that erupted in some cars, while the police and military have also mobilized rescue teams.                    ",https://www.rt.com/news/572232-greece-train-collision-victims/,2023,Mar,1
"Fidel Castro’s legacy lives on as Cuba keeps sending ‘doctors, not bombs’ all across the world — RT World News","        Fidel Castro’s legacy lives on as Cuba keeps sending ‘doctors, not bombs’ all across the world                        The iconic revolutionary leader stepped down as president 15 years ago, but his nation sticks to his course            Daniel Kovalikteaches International Human Rights at the University of Pittsburgh School of Law, and is author of therecently-releasedbook Nicaragua: A History of US Intervention & Resistance.Daniel Kovalikteaches International Human Rights at the University of Pittsburgh School of Law, and is author of therecently-releasedbook Nicaragua: A History of US Intervention & Resistance.FILE PHOTO. Cuba's leader Fidel Castro speaks on International Workers Day in Revolution Plaza in Havana, Cuba. ©                AP PhotoJavier GaleanoIn the immediate aftermath of the recent devastating earthquakes in Türkiye and Syria, Cuba dispatched medical teams to the affected areas to provide care to victims.Their departure was marked by a farewell ceremony, which featured a large photo of Fidel Castro. It was quite appropriate, for the international medical solidarity which Cuba regularly extends to countries throughout the world is the brainchild of the late iconic leader himself, who, in 2003, proudly proclaimed that Cuba does not drop bombs on other countries but instead sends them doctors.Though Castro retired from his official duties as President of Cuba 15 years ago to the day, he has continued to remain a leader in solidarity and in peace. Cuban doctors were sent to more than 70 countries over the years, including nearly 40 different countries in 2020 to help in the fight against Covid-19. In 2010, even the New York Times acknowledged Cuba’s successful campaign against the cholera epidemic which broke out in Haiti after another earthquake. In 2014, the Times similarly gave credit to Cuba’s leadership in successfully fighting Ebola in Africa:“Cuba is an impoverished island that remains largely cut off from the world and lies about 4,500 miles from the West African nations where Ebola is spreading at an alarming rate. Yet, having pledged to deploy hundreds of medical professionals to the front lines of the pandemic, Cuba stands to play the most robust role among the nations seeking to contain the virus.Cuba’s contribution is doubtlessly meant at least in part to bolster its beleaguered international standing. Nonetheless, it should be lauded and emulated.”In addition, patients from 26 Latin American and Caribbean countries have traveled to Cuba to have their eyesight restored by Cuban doctors in what was dubbed “Operation Miracle.” Among them was Mario Teran, the Bolivian soldier who shot and killed Che Guevara.Read moreOnly one country backs US in UN Cuba voteIn 2014, Fidel received the Confucius Peace Award for his efforts in ending tensions with the United States and for his work to eliminate nuclear weapons.In addition, he played a key role in helping initiate, host and mediate the peace talks between the Colombian government and FARC guerillas which resulted in a peace deal in 2016, ending 52 years of brutal civil conflict.The historic role that Fidel Castro played was always outsized for a country as small as the island nation of Cuba, and as a result, his impact was felt beyond its borders. One of the first countries that Cuba aided, back in the early 1960s, was Algeria, which had recently won its independence from France.As described by Piero Gleijeses, a professor at Johns Hopkins University, in his book Conflicting Missions:It was an unusual gesture: an underdeveloped country tendering free aid to another in even more dire straits. It was offered at a time when the exodus of doctors from Cuba following the revolution had forced the government to stretch its resources while launching its domestic programs to increase mass access to health care. “It was like a beggar offering his help, but we knew the Algerian people needed it even more than we did and that they deserved it,” [Cuban Minister of Public Health] Machado Ventura remarked. It was an act of solidarity that brought no tangible benefit and came at real material cost.This can be said of all of Cuba’s acts of international solidarity.                   Cuban doctors and nurses are bid farewell before leaving to Turkey to care for the victims of the earthquake, in Havana, on February 10, 2023.     © YAMIL LAGE  AFP                                                        Meanwhile, what very few in the West know is that Cuba, under Fidel’s leadership and with the support of the USSR, played a key role in liberating southern Africa from US and apartheid-era South African domination, and in ultimately ending apartheid in the country itself. It was for this reason that the first nation Nelson Mandela visited after his release from prison was Cuba.While there, Mandela lauded the nation as “a source of inspiration to all freedom-loving people.”Even the Washington Postrecognized Fidel Castro as a hero of Africa.After the Chernobyl disaster of 1989, Cuba took in and treated 24,000 affected children.Many of these individuals and their families still live there to this day.This act of solidarity cannot be understated given the economic conditions in the island nation at the time.While Cuba benefited greatly from the support of the USSR and Eastern Bloc after its 1959 Revolution, which Fidel led, by 1989 the Communist governments had fallen and aid from the USSR itself, which would collapse in 1991, was drying up.As a result of all of this, Cuba would enter what it called its “Special Period,” a time of great economic deprivation which many believed would lead to the collapse of the Cuban Revolution as well.But Fidel and Cuba hung on, and they continued to extend help to people around the world even while they were having trouble feeding their own people.Read moreOn the edge of Armageddon? Why the Ukraine conflict is dangerously similar to the Cuban missile crisisDue to the intensification of US sanctions and the blockade of Cuba under President Donald Trump, and continued under President Biden, Cuba has now entered a time rivaling the “Special Period.”Even before Trump’s tightening of the sanctions – unrelenting US economic war against Cuba, described by Havana as “genocidal,” had cost the country an estimated $1.1 trillion in revenue and had denied the Cuban people “life-saving medicine, nutritious food, and vital agricultural equipment.”During the height of the Covid-19 pandemic, the US even blocked delivery of critical medical aid, including masks and diagnostic equipment, to Cuba.The US is punishing Cuba and the Cuban people not for their shortcomings and failures, but because of their very successes.And amongst the successes of the Cuban Revolution which Fidel Castro led even after officially stepping down from power, is Cuba’s unequaled solidarity to the world.Fidel’s “doctors, not bombs” speech implicitly contrasted his country with the US, which is by far the world’s largest arms supplier while helping less and less with humanitarian aid.Indeed, US sanctions are directly standing in the way of humanitarian efforts in countries like Syria – a country the US continues to economically strangle even in the face of the recent earthquake.Jose Marti, the Cuban revolutionary and poet who inspired Fidel Castro himself, once said that “there are two kinds of people in the world – those who love and create, and those who hate and destroy.”It is evident that Cuba, continuously inspired by the ideas and example of Fidel, is of the former type.The statements, views and opinions expressed in this column are solely those of the author and do not necessarily represent those of RT.oped                    ",https://www.rt.com/news/571705-fidel-cuba-legacy-doctors/,2023,Feb,19
State Department explains cutting ties with Soros-funded group — RT World News,"        State Department explains cutting ties with Soros-funded group                        US taxpayers were funding an effort to blacklist conservative news sites, according to research by the Washington Examiner            George Soros addresses a meeting of the World Economic Forum in Davos, Switzerland, May 24, 2022 ©                AFP  Fabrice CoffriniThe US State Department said on Tuesday that it has pulled funding from the George Soros-backed Global Disinformation Index (GDI), after it was revealed that the organization was working to deprive conservative media outlets of advertising revenue.GDI is a UK-based nonprofit that describes its mission as “disrupting the business of disinformation.” It does this by compiling lists of “high-risk” news and information outlets – predominantly right-leaning and anti-liberal – and passing these on to advertisers, which in turn refuse to run ads on the sites.According to a recent investigation by the Washington Examiner, GDI received more than $200,000 from the National Endowment for Democracy and around $100,000 from the Global Engagement Center, both entities of the US State Department. The funding is in addition to undisclosed amounts from billionaire financier Soros and the UK Foreign Office, both of which are listed as donors on its website.Read moreIndia slams 'dangerous' George SorosGDI’s ‘dynamic exclusion list’ features more than 2,000 websites, and the organization’s CEO, Clare Melford, claims that the blacklisting has “had a significant impact on the advertising revenue of these sites.”When GDI analyzed American news sites for potential targeting, Republican lawmakers were outraged to discover that conservative and libertarian sites were considered the “ten riskiest online news sources,” and demanded that the State Department pull its funding.The National Endowment for Democracy told the Washington Times on Tuesday that it “will no longer provide financial support to GDI,” as it “cannot fund anything that focuses on the United States.” A spokesperson for the Global Engagement Center said that its role is to “identify foreign state and non-state disinformation narratives, trends and techniques aimed at undermining… the policies, security or stability of the United States.”Both of the State Department offshoots remain formidable implements of American soft power. In recent months, the National Endowment for Democracy sponsored a gathering of anti-China officials and delegates in Taiwan, and promoted anti-government news outlets during protests in Iran. The Global Engagement Center, meanwhile, has funded video games to warn children about the dangers of so-called “disinformation,” releasing the games in the UK, Ukraine, Latvia, Iraq, and Saudi Arabia.In the runup to the 2020 election in the US, the Global Engagement Center also played a key role in pressuring Twitter to censor accounts linked “to the Russian government,” despite being unable to prove any ties.                    ",https://www.rt.com/news/571935-state-department-soros-disinformation/,2023,Feb,22
US' inspector general for Afghanistan warns against Ukraine aid ‘wastage’ — RT World News,"        US' inspector general for Afghanistan warns against Ukraine aid ‘wastage’                        Washington has been the largest financial contributor to Ukraine in its conflict with Russia            John Sopko, Special Inspector General for Afghanistan Reconstruction, poses for a portrait in his office in Arlington, Va., Friday, December 18, 2015  ©Getty Images                  Al DragoCQ Roll CallRobust safeguards must be in place to prevent fraud and corruption from undermining foreign aid packages to assist Ukraine in its conflict with Russia, according to John Sopko, the United States’ Special Inspector General for Afghanistan Reconstruction (SIGAR).Sopko, who was appointed to the role of overseeing the reconstruction of Afghanistan by the Obama administration in 2012 amid the United States’ extended military presence in the country, admits that “significant mistakes” were made in Afghanistan’s rebuilding – principally due to much of the funds allocated being “diverted or stolen.”And Sopko predicts that a failure to learn from these mistakes might severely limit the impact of foreign assistance to Ukraine.“The very worst outcome is that the assistance gets diverted, stolen in such a way that it doesn’t accomplish its intended purpose – in this case, providing Ukrainians with the weapons and the money to win their war against the aggressor, Russia,” he said to Fox News.Read moreUS spending more on Ukraine than in Afghanistan – report“You’re bound to get wastage,” he explained. “You’re bound to get corrupt elements of not only the Ukrainian or host government, but also of US government contractors or other third-party contractors to steal the money.”He added that without the necessary oversight “the average Ukrainian will see the waste” rather than the intended impact of the aid and this could lead to a loss of support for Kiev's and Washington's measures. He cited similar experiences in Afghanistan, where he concluded that Afghan soldiers and police officers lost confidence in their government after first-hand observations of corruption.The United States has continued to increase its aid packages to Ukraine in recent months. On Friday, the one-year anniversary of the launch of Moscow’s military operation in the country, the US announced a further aid package of $2 billion and imposed further sanctions and tariff increases on Moscow. In 2022, the Biden administration rubber-stamped more than $112 billion in financial assistance for Kiev.Last month, Washington revealed plans for an oversight committee to track the assets sent to Ukraine – an exercise Sopko said would be akin to “herding cats.” Figures within the US Congress have also called for a special inspector to be appointed to oversee Ukraine aid. It was reported last month that Ukrainian leader Vladimir Zelensky had fired government officials found to have been engaging in bribery and corruption.                    ",https://www.rt.com/news/572106-ukraine-us-aid-packages-wastage/,2023,Feb,26
US heading for ‘national divorce’ – congresswoman — RT World News,"        US heading for ‘national divorce’ – congresswoman                        Marjorie Taylor Greene says “real Americans” feel disconnected from Washington            Marjorie Taylor Greene during President Joe Biden's State of the Union address in the House Chamber of the U.S. Capitol on February 07, 2023 in Washington, DC  ©Getty Images                  Win McNameeGetty ImagesRepublican firebrand Marjorie Taylor Greene has doubled down on her recent statement that she believes red and blue states in the US are hurtling towards a “national divorce,” but says she doesn’t want disagreements in the political ecosystem to incite another civil war.Georgia Representative Taylor Greene, a key ally of Donald Trump in his ‘America First’ and ‘MAGA’ movements, proposed a separation of states by their political ideologies on February 20, which marked President’s Day. She complained that “from the sick and disgusting woke culture issues shoved down our throats to the Democrat’s (sic) traitorous America Last policies, we are done.”Following backlash, Taylor Greene doubled down on the comments on Sunday, tweeting that Washington and the political world “are totally disconnected from real Americans and how they think [and] feel and they hate it when I’m right.”“Whether anyone likes it or not we are headed for a national divorce, but I don’t want a civil war, and it should never come to that.” Taylor Greene’s latest comments are bound to inflame tensions amid stark political divides in Washington, which is still feeling the ripple effects of the pro-Trump riot at the US Capitol on January 6, 2021.Read moreZelensky ‘commanding’ US military – congresswomanThe political chasm between red and blue states noted by the congresswoman appears to be backed up by polling data. Pollster Jeremy Zogby told conservative outlet the Washington Examiner that support for a separation of blue and red states exists “across the board.”His father John Zogby, a senior partner at the political consulting firm John Zogby Strategies, also noted that there is “nothing in our polling that would contradict” Taylor Greene’s assessment of the US political landscape.If a so-called “national divorce” came to be, Taylor Greene said the Department of Defense would need to “defend America’s borders” rather than focus on rivalries with Russia and China or show more interest in “serving Ukraine first.”The lawmaker said the right and left in the US had reached “irreconcilable differences” and that rather than a civil war, what is needed is a “legal agreement to separate our ideologies and political disagreements while maintaining our legal union.”Criticism of Taylor Greene’s position, though, has come from both sides of the aisle. White House spokesperson Robyn Patterson said her national divorce concept is “sick, divisive and alarming,” while former GOP presidential candidate Mitt Romney said Greene’s statement was akin to “insanity.”“We’re not going to divide the country,” Romney said. “It’s united we stand and divided we fall.”Taylor Greene has been a consistent critic of the administration of President Joe Biden, making headlines earlier this month when she heckled Biden during his annual State of the Union speech.                    ",https://www.rt.com/news/572132-us-taylor-green-national-divorce/,2023,Feb,27
Former US presidential candidates rally against ‘war machine’ — RT World News,"        Former US presidential candidates rally against ‘war machine’                        Speakers accused President Biden of pushing the world to the brink of “nuclear holocaust”            ©                Twitter  anyaparampilHundreds of protesters gathered in Washington, DC for the ‘March Against the War Machine’ rally, with a number of prominent speakers from across the political spectrum calling on the US government to end its military supportfor Ukraine in favor of diplomacy, and slash the Pentagon budget to address numerous domestic issues.The anti-war event held at the Lincoln Memorial on Sunday marked almost one year since the start of hostilities between Russia and Ukraine, and featured a wide range of public figures, journalists and former politicians, including several US presidential hopefuls.Former US Congresswoman and presidential candidate, Tulsi Gabbard, addressed the crowd of several hundred people with a reminder of what caused her to run in 2020, and how there was “no other candidate willing to talk about… the dangers where this new Cold War and nuclear arms race would eventually lead.”“And so here we are. Two short years later what I warned about then is now a reality. This proxy that we are fighting against Russia right now could turn at any moment into a direct conflict between the United StatesNATO and Russia,” she said, warning that “anyone with a little bit of common sense” knows that a Cold War can at any moment turn into a hot war against a nuclear-armed country.”@TulsiGabbard calls out the inevitable outcome of this game of chicken the #uniparty has us playing. #RageAgainstWarMachine video feed credit: @LPNationalpic.twitter.comd7qCgK0oZ1— Nathan Miller (@realnatemiller) February 19, 2023“And here is the insanity of it all: we have talking heads on TV, we have politicians, we have very powerful people here in the United States and all around the world speaking with a straight face… about ‘how we gonna fight and win’… as if such a war could ever be won. It cannot be won,” she stated.Whether intentional or accidental, there is only one destination for such war, and that is a nuclear holocaust.Former Green Party presidential candidate Dr. Jill Stein called for slashing the Pentagon’s enormous budget, arguing in her speech that even the “$100 billion we are spending to support war in Ukraine” could help mitigate a whole range of domestic problems.“This murderous military spending consumes resources desperately needed here at home: by 70,000 people who die each year for lack of health insurance; for a half million homeless people on any given night out in the street; for 33 million marred in student debt; a 100 million in medical debt, 22 million impoverished children and on and on.”Jill Stein speaks at the “Rage against the War Machine” protest at the Lincoln Memorial in Washington DC pic.twitter.comzSKFLfeGLV— Timcast News (@TimcastNews) February 19, 2023Former Congressman, Dennis Kucinich, who fought for the Democratic nomination in 2004 and 2008, cited a bombshell report by Pulitzer Prize-winning investigative journalist Seymour Hersh to demand accountability from the US government.“In blowing up the Nord Stream pipeline, this government… has used illegal and unconstitutional means to destroy the energy resources needed to protect millions of people in Europe during the winter, and then to profit from its illegal actions by selling energy to Europe at a four to six times markup,”Kucinich said.We know what each of you did… we will not rest until you are held accountable by Congress, by the International Criminal Court, and by the American people at the next election.Kucinich added that the US government’s “greatest talent is to craft misinformation and disinformation to subvert the media and misuse it as an instrument to incite fear and hatred among our people, exciting partisan divisions at home through cross-politics, and stirring ancient hatreds abroad through lies, deceit, false flag operations and provocations which profane the very essence of democracy.”: US responds to Nord Stream sabotage allegationsVeteran US Congressman and former US presidential candidate, Ron Paul, claimed to a round of cheering applause that a “simple” way to stop the wars is to “end the Fed!” – and to not send people to war unless they vote for it.“If you can't print the money, you can't collect taxes by debasing the currency and stealing the wealth from the people, unnerving the middle class and the poor because that's who really pays for this, you couldn't have a war…”""Why do the people go to war?” Paul said. “If you think you should have war – have a vote and make sure that the vote is carried out by the people between 18 and 24. This is the group that gets punished the most.”                    ",https://www.rt.com/news/571747-rage-military-machine-rally/,2023,Feb,20
US lawmaker demands Syria troop withdrawal — RT World News,"        US lawmaker demands Syria troop withdrawal                        American forces continue to occupy the country’s oil-rich northeast, where they have been accused of stealing resources            Rep. Matt Gaetz (L) is seen in the US Capitol in Washington, DC, February 1, 2023. ©                AP  J. Scott ApplewhiteRepublican Congressman Matt Gaetz has introduced a War Powers Resolution seeking to end US military action in Syria, arguing Congress had never authorized the nearly decade-long occupation.Unveiled on Wednesday, the legislation would direct President Joe Biden to remove all US forces from Syria no later than 15 days after the bill is adopted. Gaetz, the resolution’s sponsor, cited a recent raid in Syria which left several servicemen wounded, questioning why American troops are still in the country.“Congress has never authorized the use of military force in Syria. The United States is currently not in a war with or against Syria, so why are we conducting dangerous military operations there?” he said in a press release. “President Biden must remove all US Armed Forces from Syria. America First means actually putting the people of our country first – not the interests of the military industrial complex.”: Republicans push to end Ukraine aidGaetz went on to state that the 80-year-old Biden “does not have a cognitive grasp on the Syrian conflict,” pointing to an August 2021 interview with ABC News in which the president appeared to suggest there were no US troops in Syria. Washington has kept around 900 soldiers there for several years, including at the time of the interview.Because War Powers Resolutions are privileged legislation, Congress will be forced to vote on the new measure within 18 days of its introduction.The US military has been active in Syria since as early as 2014, flying countless airstrikes against select militant groups and, at times, the Syrian government. Intermittent ground deployments began the same year.Under President Barack Obama, Washington doled out hundreds of millions of dollars in weapons to an array of jihadist rebel factions seeking to overthrow Syrian President Bashar Assad, though the effort later fizzled following Russian and Iranian military intervention at the request of Damascus.:    Even suspended sanctions cause suffering for Syrian earthquake victimsWhile American involvement in Syria slowed after Obama left office, in 2019, then-President Donald Trump said some US troops would remain in the country “for the oil,” openly suggesting Washington would simply “keep” the energy resources. Since then, Syrian officials have accused the Pentagon of making off with large amounts of oil taken from provinces in the northeast, where US forces have long embedded with Kurdish militia groups.A number of US troops also continue to occupy a base near Al-Tanf in southern Syria, stationed alongside militia fighters who previously aimed to oust the government in Damascus.                    ",https://www.rt.com/news/572001-us-troop-withdrawal-syria/,2023,Feb,24
US Congress rejects Syria troop pullout — RT World News,"        US Congress rejects Syria troop pullout                        Republican Rep. Matt Gaetz castigated fellow lawmakers for voting to prolong America’s “forever wars”            FILE PHOTO: US Army troops make their way to an oil production facility at an undisclosed location in Syria, October 27, 2020. ©                US Army  Spc. Jensen GuilloryUS lawmakers have voted down a bill seeking to withdraw all American troops from Syria, opting to continue the years-long military occupation despite repeated objections from the government in Damascus, which has rejected the armed presence as illegal.While 56 Democrats joined 47 Republicans to back the GOP-sponsored bill, the Syria War Powers Resolution failed to pass in a 103-321 vote on Wednesday, facing stiff bipartisan opposition.Introduced by Florida Republican Matt Gaetz last month, the legislation would have directed President Joe Biden to remove the 900 US troops still deployed to the Middle Eastern nation within a period of six months. Arguing that Congress never authorized military action in Syria to begin with, Gaetz slammed lawmakers on both sides of the aisle following the ill-fated vote.“There is no role for the United States of America in Syria. We are not a Middle Eastern power. We have tried to build a democracy out of sand, blood, and Arab militias,”hesaid on the House floor. “Time and again, the work we do does not reduce chaos. Oftentimes, it causes chaos – the very chaos that then subsequently leads to terrorism. While today’s vote may have failed, my fight to end forever wars and bring our troops home has only just begun.”: Top US general visits troops in SyriaOpponents of the War Powers Resolution voiced fears that a US pullout could mean the revival of terrorist groups in the region. Democrat Gregory Meeks argued that while he does not support an “indefinite” deployment, a withdrawal would be “premature.” He did not offer an alternative timeframe for when US forces should leave the country, having occupied Syrian territory intermittently for nearly a decade despite years of vocal objections from the government in Damascus.Gaetz said several prior Inspector General reports concluded a resurgence of Islamic State (IS, formerly ISIS) in Syria was “unlikely,” instead claiming the American presence has served as a “recruiting tool” for the infamous terrorist cell.“We have to also acknowledge Syria and Iraq are the two countries on the planet Earth where we have done the most to fund ISIS. We give weapons to these so-called moderate rebels… and it turns out they’re not that moderate,” he continued, referring to President Barack Obama’s policy to arm rebel groups seeking to oust Syrian President Bashar Assad, many of which kept close ties with Al-Qaeda and other jihadist factions.Though Congress never approved troop deployments in Syria, three successive presidents have cited the military authorization passed after the September 11 terrorist attacks in 2001 to support the decision. The same measure has been invoked as legal justification for more than 40 US military operations in at least 19 countries around the world since 2001, according to the Congressional Research Service.:    China accuses US of oil theft                    ",https://www.rt.com/news/572663-congress-rejects-syria-pullout/,2023,Mar,9
Polish president claims Nord Stream blasts were ‘beneficial’ for Europe — RT World News,"        Polish president claims Nord Stream blasts were ‘beneficial’ for Europe                        The sabotage last year disrupted Moscow’s plans for ‘dominance,’ Andrzej Duda has argued            FILE PHOTO: Polish President Andrzej Duda ©                Global Look Press  Mateusz SlodkowskiThe destruction of the Nord Stream pipelines delivering Russian gas to Europe was a good thing, Polish President Andrzej Duda told CNN on Wednesday. He claimed that the sabotage had freed the continent from Moscow’s plans for “dominance,” adding that it had ended Poland’s dependence on Russian gas.The comments followed media reports that pro-Ukrainian forces may have been behind the attack on the pipeline, which took place in September 2022. Duda said he could not confirm those claims, but insisted that if Nord Stream ceased to exist,it would be “beneficial” for Europe.Poland was a major opponent of the gas pipeline project and even lobbied for it to be dismantled in August 2022, roughly a month before the attack. Duda also called the project part of Europe’s appeasement strategy in relations with Russia.Read moreClaims of Ukrainian link to Nord Stream sabotage ‘hypothetical’ – GermanyEarlier this week, citing US intelligence sources, the New York Times reported that a “pro-Ukrainian group” was behind the September 2022 attack. The outlet also statedthat Western intelligence agencies were aware of the identity of the person behind the sabotage, but decided to conceal the information to avoid a spat between Berlin and Kiev because the suspect has ties to Ukraine.The Polish president, who spoke to CNN during a visit to the United Arab Emirates, also suggested handing all Polish MiG-29 fighter jets over to Kiev, but only as part of an international coalition. “We are ready to deliver these planes, and I am sure that Ukraine would be ready to use them immediately,” he said, without specifying how many Soviet-made planes Warsaw still has in its arsenal.Duda called for Ukrainian pilots to be trained to operate US-made F-16 fighter jets, arguing that Kiev’s forces would in any case be eager to be “up to NATO standards.”“The training of Ukrainian pilots is important and it is quite necessary,” he added.According to CNN, at least two Ukrainian pilots are currently in the US, where they are using flight simulators to see how much time they would need to learn to fly various American-made military aircraft.                    ",https://www.rt.com/news/572660-poland-nord-stream-sabotage-beneficial/,2023,Mar,8
