,title,article,link,day,month,year
0,"China's whole-process people's democracy vibrant, effective - People's Daily Online","China´s whole-process people´s democracy vibrant, effective (Xinhua) 09:52, March 10, 2023BEIJING, March 9 (Xinhua) -- As an American who grew up in the United States and has lived in China for a few decades, I have found a keyword that many people talk about is ""democracy."" Many in the United States think that China is not democratic. In my opinion, seeing is believing. The democracy I've seen in China is vibrant and very effective.Every year at this time, when spring flowers bloom, the ""two sessions"" -- China´s important annual political gatherings -- are held in Beijing, and this year was no exception.In Western countries such as the United States, where democracy and elections are essentially equated, people elect someone and hope for the best. In China, democracy is more than elections. The ""two sessions"" have been a window to showcase the strength and vitality of China´s democracy. Last year before the ""two sessions,"" my colleagues and I had the opportunity to visit a Shanghai community, which gave me a sense of how China´s whole-process people´s democracy works on a daily basis.In Shanghai´s Hongqiao subdistrict, we interviewed Noyan Rona, a Turkish banker and an enthusiastic volunteer. Rona told us that, when approached about a draft revision to the individual income tax law in 2018, he suggested adding the word ""accumulated"" before the individual tax residency threshold of 183 days in a tax year to make the rule more explicit.Rona recalled this story from several years ago with renewed excitement. His suggestion was adopted and written into law, which would influence a lot of foreigners living in China, he proudly told us.I was very curious to know that, for residents like Rona who are keen to offer opinions, in what ways can they have their opinions heard by lawmakers? At a civic center in Hongqiao, we saw a type of red mailbox designed to collect letters of opinion from residents.In fact, the Legislative Affairs Commission of the National People´s Congress (NPC) Standing Committee set up a community-level contact station at the civic center. The red mailboxes are part of their facility. Draft laws are sent down here so that ordinary citizens can discuss them and have their opinions heard. In other words, the voices of grassroots people will reach the highest legislative body.Since the establishment of the contact station in 2015, 78 draft laws, including the Foreign Investment Law, have been discussed here by residents in Hongqiao and 163 pieces of advice incorporated, including Rona´s suggestion about individual income tax law.I learned from this year´s ""two sessions"" that similar community-level contact stations have been set up across the nation, becoming the ""through train"" for the grassroots voices to reach the national legislature. What I didn't know was that as a foreigner living in China, I also have such rights.Of course, the channels themselves do not guarantee full participation. There is an important role to play for representatives of public opinion at the grassroots. They are the 2.77 million deputies to people´s congresses at all levels nationwide.Deputies would visit organizations and individuals that can vote, hear and collect public opinions, and conduct research for the proposals and suggestions they submit. They would also participate in research trips, seminars, dialogues, and open-day events to talk about issues of public concern. In addition, they would receive training from time to time to enhance their ability to perform their duties.The practice in Hongqiao is very successful. In November 2019, President Xi Jinping visited the civic center while a consultation meeting on a draft law was underway. Xi talked to both the Chinese and foreign residents attending the meeting, and for the first time made the remark that ""People´s democracy is a type of whole-process democracy.""Compared with legislators in the West who make politics their career and usually have a staff and campaign team, NPC deputies come from all walks of life and all 56 ethnic groups in China. Most of them are part-timers, who work and live among their people and therefore understand their needs best.In an interview with Xinhua, Rick Dunham, a U.S. visiting professor at Tsinghua University, pointed out that in the United States, there are more lawyers, doctors, and top managers involved in politics. In China, one finds more grassroots representation including blue-collar workers, farmers and takeaway riders. I would agree with his conclusion that China´s NPC deputies are more representative than U.S. lawmakers.From protecting workers' rights in the food-delivery and car-hailing industries to alleviating the pressure of excessive schoolwork and off-campus tutoring; from solving the financing difficulties of SMEs to protecting the ecology of the Yellow River... Deputies and political advisors collect and sort out the opinions of ordinary people, which often form the basis of their proposals and suggestions. Some of these ideas will be incorporated into relevant laws, regulations, systems, policies, decisions and arrangements.Over the past five years, as I was told, some 18,000 pieces of advice from national lawmakers and political advisors have been adopted by relevant departments of the Chinese central government and over 7,800 policy measures have subsequently been introduced. As a result, many problems have been addressed related to the country´s reform and development and the people´s most urgent needs.In a nutshell, China´s democracy is a whole process that can involve all people. To let the people discuss the affairs of their own and to make sure that the people are in charge are the essence of the ""whole-process people´s democracy.""",http://english.people.com.cn/n3/2023/0310/c90000-10219808.html,10,3,2023
1,Vietnamese seafood exporters seen benefiting from trade links with China - People's Daily Online,"Vietnamese seafood exporters seen benefiting from trade links with China (Xinhua) 14:38, March 10, 2023HANOI, March 10 (Xinhua) -- Vietnam´s seafood exports have shown promising signs of making a recovery following China´s optimization of its COVID-19 response, Vietnam News Agency reported on Friday.Vietnam´s seafood exports to China in February climbed 33 percent to 122 million U.S. dollars from a year ago, according to the Vietnam Association of Seafood Exporters and Producers (VASEP).China became Vietnam´s second-largest market of seafood exports last year, growing 63 percent year-on-year, which outpaced the 23-percent annual growth of the whole industry, said VASEP deputy general secretary Nguyen Hoai Nam.The rapid change of China´s COVID strategy is brightening the outlook for Vietnamese seafood exporters, who are betting on the huge demand of the world´s second-largest economy, he added.The pandemic has disrupted several supply chains, leading to disconnection between Vietnamese businesses and their Chinese partners, said Tran Thanh Nam, deputy minister of agricultural and rural development, adding that measures to reconnect supply chains and facilitate bilateral trade are underway.Vietnam´s agricultural and fishery exports to China via Mong Cai International Border Gate have grown around 60 percent year over year, said Tran Thi Bich Ngoc, head of the border gate´s management board, urging local businesses to embrace novel production technologies and well-organized management to keep their products up to standard.Vietnam´s seafood exports amounted to 1.1 billion dollars in the first two months, down 26 percent from the same period last year, as the demand from major markets including the United States and Europe has not shown recovery signs, VASEP said.",http://english.people.com.cn/n3/2023/0310/c90000-10220087.html,10,3,2023
2,Leading pro-gov't newspaper accuses U.S. of seeking to meddle in Zimbabwe's elections - People's Daily Online,"Leading pro-gov't newspaper accuses U.S. of seeking to meddle in Zimbabwe´s elections (Xinhua) 13:16, March 03, 2023HARARE, March 2 (Xinhua) -- Zimbabwe´s leading government-controlled newspaper, The Herald, on Thursday accused the United States of openly declaring an interest in the country´s forthcoming elections.The paper said while the United States appeared to be keen on just ensuring that the elections, most likely to be held in August, were free and fair, its intention was to engineer a preferred outcome.""After arriving in Zimbabwe yesterday, visiting United States deputy assistant secretary of State in the Bureau of African Affairs, Ambassador Robert Scott, said he is here to influence the forthcoming elections,"" the paper charged.The paper said Scott had given little in terms of the purpose of his visit, adding that there were indications that he was also seeking ""an unprecedented meeting"" with Priscilla Chigumba, the chairperson of the Zimbabwe Electoral Commission (ZEC), in a bid to influence the electoral body.According to the paper, western countries, including the United States, have set aside 37 million U.S. dollars to sponsor the opposition and non-governmental organizations (NGOs) ""in a fresh attempt to subvert the will of the people of Zimbabwe.""It further alleged that two NGOs had already received a total of more than 1 million U.S. dollars from the U.S. Agency for International Development to run parallel voter tabulation, which they called Sample Bases Observations during the elections.""Meanwhile, some western-sponsored organizations, who are behind the treacherous plot, have already captured some individuals in the election management system and plan an audacious capture of ZEC using the compromised officials,"" the paper said without mentioning its sources.",http://english.people.com.cn/n3/2023/0303/c90000-10215655.html,03,3,2023
3,Biden announces budget plan for fiscal year 2024 - People's Daily Online,"Biden announces budget plan for fiscal year 2024 (Xinhua) 11:08, March 10, 2023WASHINGTON, March 9 (Xinhua) -- U.S. President Joe Biden announced his budget proposal for the next fiscal year on Thursday.The 182-page proposal projected the federal government´s spending of 6.9 trillion U.S. dollars throughout fiscal year 2024, starting on Oct. 1, 2023, and ending on Sept. 30, 2024.Biden said his budget plan aims at reducing the deficit by nearly 3 trillion dollars over the next decade ""by making the wealthy and big corporations pay their fair share.""""We propose a billionaire minimum tax, requiring the wealthiest Americans to pay at least 25 percent on all of their income, including appreciated assets,"" he said in a written message to Congress.Kevin McCarthy, speaker of the U.S. House of Representatives controlled by Republicans, responded on Thursday that he thinks Biden´s budget request ""is completely unserious.""""He proposes trillions in new taxes that you and your family will pay directly or through higher costs,"" McCarthy tweeted. ""Mr. President: Washington has a spending problem, NOT a revenue problem.""Under Biden´s budget proposal, the Pentagon´s spending would surge to 842 billion dollars in fiscal 2024, a 26-billion-dollar or 3.2-percent increase from the 2023 enacted level.The United States has been heavily criticized for hefty spending on military activities. The National Defense Authorization Act for fiscal year 2023 allocated nearly 817 billion dollars to the Pentagon.Andrew Lautz, director of federal policy for the National Taxpayers Union and National Taxpayers Union Foundation (NTUF), wrote on Thursday that the NTUF is skeptical of the 2024 Biden defense budget request, and believes that ""all taxpayers should be too.""Hundreds of Americans attended a rally in Washington, D.C. last month to protest against massive money funneling into Ukraine, as well as the role of the United States in the Russia-Ukraine conflict.""The United States is playing way too much on the military,"" Scholz-Karabakakis, a protester from Vermont, said, while he accused Washington of ""expanding outwards to the borders"" of other countries and ""creating anxiety, fear around the world.""",http://english.people.com.cn/n3/2023/0310/c90000-10219933.html,10,3,2023
4,Black Americans view capitalism more negatively than positively: Pew - People's Daily Online,"Black Americans view capitalism more negatively than positively: Pew (Xinhua) 10:24, March 10, 2023People walk on the frozen Lincoln Memorial Reflecting Pool in Washington, D.C., the United States, on Dec. 25, 2022. (Xinhua/Liu Jie)Today, most Black adults say the U.S. economic system does not treat Black people fairly.NEW YORK, March 9 (Xinhua) -- Black Americans have long had significantly lower wages and household wealth than White Americans, and the roots of these inequities trace back to the central role slave labor once played in the nation´s economic system and the subsequent segregation and discrimination in labor markets, according to recent Pew Research Center surveys.In an August 2022 survey, 54 percent of Black adults said they had a very or somewhat negative impression of capitalism, up from 40 percent in May 2019. Four-in-ten Black adults held a very or somewhat positive view of capitalism in 2022, down from 57 percent in 2019.""Views of capitalism also grew more negative among other racial and ethnic groups during this period, but the movement was particularly pronounced among Black Americans,"" said a Pew Research Center report about the surveys.In fact, the 2022 survey found that Black adults were the only racial or ethnic group more likely to view capitalism more negatively than positively, and also the only group more likely to view socialism more positively (52 percent) than negatively (42 percent), the report said.Today, most Black adults say the U.S. economic system does not treat Black people fairly. And though they are increasingly dissatisfied with capitalism, most Black adults say supporting Black businesses will help achieve equality, the report added.",http://english.people.com.cn/n3/2023/0310/c90000-10219842.html,10,3,2023
5,U.S. defense secretary urges Israel to de-escalate tensions in West Bank - People's Daily Online,"U.S. defense secretary urges Israel to de-escalate tensions in West Bank (Xinhua) 10:41, March 10, 2023JERUSALEM, March 9 (Xinhua) -- U.S. Secretary of Defense Lloyd J. Austin urged Israel to de-escalate tensions in the occupied West Bank during his visit to Israel on Thursday.He made the remarks shortly after his meeting with Israeli Prime Minister Benjamin Netanyahu and the Minister of Defense Yoav Gallant at the Ben Gurion Airport outside Tel Aviv.""As we always have, we're calling on the Palestinian leadership to combat terrorism and to resume security cooperation and to condemn incitement,"" Austin told a joint press conference held with Gallant after the meeting.""But the United States also remains firmly opposed to any acts that could trigger more insecurity, including settlement expansion and inflammatory rhetoric. And we're especially disturbed by violence by settlers against Palestinians,"" he was quoted as saying in a statement issued by the U.S. Defense Department.Austin was talking about Israeli settlers' attacks against Palestinians and their property lately, which peaked during a rampant attack by around 350 settlers on Hawara and other Palestinian towns near Nablus. The settlers torched dozens of Palestinian homes, cars, shops and livestock, and one Palestinian man was reportedly killed.He called for immediate action to implement Israeli commitments for calm during a high-level meeting in Aqaba, Jordan, on Feb. 26.Netanyahu, for his part, issued a separate statement saying that ""our conversation focused primarily on our joint efforts to prevent Iran from obtaining nuclear weapons.""The tensions between Israel and the Palestinians have been escalating in the West Bank and East Jerusalem since the beginning of this year. Official Palestinian and Israeli figures showed that more than 70 Palestinians have been killed this year so far, while 14 Israelis have been killed in attacks carried out by Palestinians.",http://english.people.com.cn/n3/2023/0310/c90000-10219903.html,10,3,2023
6,"US, a self-proclaimed human rights defender, fails to protect its children - People's Daily Online","US, a self-proclaimed human rights defender, fails to protect its childrenBy Chen Zi (People´s Daily Online) 17:08, March 10, 2023(Cartoon by Tan Xiguang)Touting itself as a ""human rights defender"", the United States has wantonly pointed fingers at the human rights situations in other countries. Human rights protection is a pretense of the U.S., which covers a ""black hole"" of the human rights situation in the U.S.The U.S. Department of Labor announced that it found that Packers Sanitation Services Inc. (PSSI), one of the nation’s largest food safety sanitation services providers, employed over 100 children in hazardous occupations, and had them working overnight shifts at meat processing facilities. The minors were working with hazardous chemicals and cleaning meat processing equipment, and suffered injuries while working for PSSI.Child labor is a chronic illness of U.S. society. The country has not ratified the United Nations Convention on the Rights of the Child yet, and has been criticized by the International Labor Organization many times. The Guardian reported that child labor law violations have increased in the U.S., with a 37 percent increase in fiscal year 2022, including 688 children working in hazardous conditions. Estimates by the Association of Farmworker Opportunity Programs suggest that there are 500,000 to 800,000 child farmworkers in the U.S. These facts are a sharp reminder that the U.S., a self-proclaimed human rights defender, can hardly protect the legitimate rights of children. ",http://english.people.com.cn/n3/2023/0310/c90000-10220276.html,10,3,2023
7,Commentary: The post-shame era of U.S. foreign policy - People's Daily Online,"Commentary: The post-shame era of U.S. foreign policy (Xinhua) 13:05, March 04, 2023BEIJING, March 3 (Xinhua) -- The U.S. House Ethics Committee on Thursday launched an investigation against Congressman George Santos, who has been found to have fabricated major elements of his life story and even lied about his mother´s death in the 9/11 attacks.Not known for aggressively pursuing inquiries, the committee has limited ability to punish lawmakers for wrongdoing. In February, Santos told CNN that he is ""not concerned"" about a House ethics probe. And despite his scandals, Republicans seem reluctant to push for Santos' immediate removal from office.The National Public Radio (NPR) recently lamented that surviving scandals has become easier for politicians like Santos, as the United States has entered an era of ""post-shame politics."" But NPR is a bit slow on the uptake. For people outside the United States, the post-shame era began long ago, particularly in regards to U.S. foreign policy.In his book The Clash of Civilizations and the Remaking of World Order, Samuel P. Huntington noted that the belief in American principles as universal and the U.S. mission to promote and defend these principles throughout the world has been a persistent and potent theme in American foreign policy. However, this theme has become intermittent and weaker as the United States pursues its interests with no sense of shame and a willingness to flout its own principles and values.The ""America First"" policy embodies how times have changed. Championed by former U.S. President Donald Trump, the approach prioritizes U.S. interests over those of other countries. It disregards established international norms, which many have criticized as selfish and isolationist.Sadly, the lack of shame in American foreign policy has persisted beyond Trump´s presidency, as seen in continued U.S. drone strikes, the hasty Afghanistan withdrawal, the theft of Syria oil and its long-arm jurisdiction, to name just a few.The U.S. military´s drone strikes in Somalia and Yemen, among other countries, have been controversial due to their often deadly impact on innocent civilians. Despite the U.S. government´s claims to uphold human rights and the rule of law, the drone strikes have resulted in hundreds, if not thousands, of non-combatant deaths. Moreover, the legality of these strikes has been widely questioned, particularly as they were often carried out in countries where the United States was not officially at war and was without the consent of those nations.Since 2001, the U.S. military has conducted several operations in the name of fighting terrorism, resulting in the deaths of over 900,000 individuals, approximately 335,000 of them civilians. These horrific U.S. military campaigns have created 37 million refugees worldwide, with an estimated 48,000 civilians having died due to U.S. airstrikes over the past two decades.A lack of shame was also evident during the abrupt withdrawal from Afghanistan, ignoring the spirit of international cooperation and solidarity it had championed. Relying heavily on NATO partners during the 20-year war in Afghanistan, the U.S. government suddenly pulled out of the country without sufficient consultation with its allies, leaving them in a complex and precarious position, its allies complained.The U.S. military´s exploitation of Syrian oil resources is another prime example of how America lacks shame. Despite violating international law, the United States and its mercenaries have been accused of extracting an average of 66,000 barrels of oil per day from Syrian oil fields. Such acts of theft have damaged the United States' moral authority and undermined its credibility as a global superpower.Its long-arm jurisdiction also exemplifies a sense of shamelessness. The United States typically enforces its laws on foreign individuals and entities outside its territory, disregarding the sovereignty of other nations. This behavior has been illustrated in cases involving French company Alstom and Chinese company Huawei. In both cases, the United States used its legal and economic prowess to bully others into submission and maintain dominance in key industries while containing rising competitors.The implications of a ""post-shame era"" in U.S. foreign policy extend far beyond the country´s borders. People worldwide associate such shame with the entire nation.To rebuild its reputation, the United States must prioritize collaboration with other countries rather than continue to pursue unilateralism and hegemony. Only then can it play a more constructive and positive role in shaping a safer and more prosperous world.",http://english.people.com.cn/n3/2023/0304/c90000-10216003.html,04,3,2023
8,U.S. Ohio derailment triggers uneasy feeling in petrochemical hub: Grist - People's Daily Online,"U.S. Ohio derailment triggers uneasy feeling in petrochemical hub: Grist (Xinhua) 09:57, March 04, 2023Workers drain contaminated water on the site of the Feb. 3 derailment on the outskirts of the village of East Palestine, Ohio, the United States, on Feb. 14, 2023. (Photo by Phil Zhang/Xinhua)The accelerating petrochemical development is simply the newest incarnation of industrial exploitation for a region that has been plagued by legacy pollution since the dawn of the Industrial Revolution.NEW YORK, March 3 (Xinhua) -- The train that crashed in East Palestine of the U.S. state of Ohio derailed about 20 miles northeast of its destination of Conway, Pennsylvania, one of the industrial towns and small cities that line the Ohio River as it flows west from its mouth in Pittsburgh, reported U.S. news portal Grist on Wednesday.The Upper Ohio River Valley, which stretches, roughly speaking, from that mouth down to where West Virginia meets the tip of Kentucky, has been the site of proliferating petrochemical development over the past decade, as oil and gas companies turn their attention away from fuel and toward a much richer prospect: plastics, according to the report.Ethane gas fracked from the Marcellus Shale, which extends across Pennsylvania into the eastern edge of Ohio and northern West Virginia, can be ""cracked"" into ethylene, a flammable gas critical to the production of plastics used for packaging, bottles, and electrical insulation, among other products, it noted. And all of the infrastructure that is required for every step of plastic production and transport - wells, pipelines, refineries, ports, plants - has spread like a spider´s web over the region.""The accelerating petrochemical development is simply the newest incarnation of industrial exploitation for a region that has been plagued by legacy pollution since the dawn of the Industrial Revolution,"" it said.The pressing question is whether the people who have lived here for generations have hit their breaking point, and whether they feel empowered to demand more from the corporations that threaten their homes and the politicians that enable them, it added.",http://english.people.com.cn/n3/2023/0304/c90000-10215936.html,04,3,2023
9,Mexican president denounces U.S. lawmaker's intention of military intervention - People's Daily Online,"Mexican president denounces U.S. lawmaker´s intention of military intervention (Xinhua) 11:15, March 10, 2023MEXICO CITY, March 9 (Xinhua) -- Mexican President Andres Manuel Lopez Obrador on Thursday rebuked a U.S. lawmaker for offering to send U.S. troops into Mexico to combat the drug trade.""We are not a protectorate of the United States or a colony of the United States,"" said Lopez Obrador, denouncing the proposal as an ""offense"" to Mexico´s sovereignty, as well as ""interventionist,"" ""inhumane"" and ""hypocritical.""""We do not receive orders from anyone. The people of Mexico govern here,"" the president said at his daily press conference.U.S. Republican Representative Dan Crenshaw of Texas submitted a bill to the legislature that seeks to authorize deployment of armed forces in Mexico to fight drug trafficking, particularly fentanyl.""We are not going to allow any foreign governments to intervene in our territory, much less the armed forces of a foreign government,"" the Mexican president said.The United States, he said, is failing to tackle drug abuse at home, especially fentanyl addiction among its youths, which is a problem Mexico does not share.""Why don't they take care of their young people? Why don't they take care of their serious problems of social breakdowns?"" he asked.Lopez Obrador described the lawmaker´s initiative as more of an ""electoral"" stunt rather than a sincere effort to address drug abuse and trafficking, noting that elections are coming up in the United States.",http://english.people.com.cn/n3/2023/0310/c90000-10219949.html,10,3,2023
